"日付","名称","簡単な内容","カテゴリ","ターゲット"
2026-03-26 09:55:11,保存: infield,Storage mission dispatched,A,infield
2026-03-26 09:55:12,保存: infield,Storage mission dispatched,A,infield
2026-03-26 09:55:13,保存: infield,Storage mission dispatched,A,infield
2026-03-26 09:55:15,保存: infield,Storage mission dispatched,A,infield
2026-03-26 09:55:15,保存: outfield,Storage mission dispatched,A,outfield
2026-03-26 09:55:15,保存: infield,Storage mission dispatched,A,infield
2026-03-26 09:55:15,保存: outfield,Storage mission dispatched,A,outfield
2026-03-26 09:55:16,保存: infield,Storage mission dispatched,A,infield
2026-03-26 09:55:16,保存: outfield,Storage mission dispatched,A,outfield
E20260326_001,2026-03-26 10:06:51,保存: infield,Storage mission dispatched,A,infield
E20260326_001,2026-03-26 10:08:44,保存: infield,Storage mission dispatched,A,infield
E20260326_001,2026-03-26 10:08:46,保存: infield,Storage mission dispatched,A,infield
E20260326_001,2026-03-26T10:57:37,human_nsjsiro,storage,panel_ui,index.html,N/A,manual_click,browser_ui,in_operation,normal,A,infield,保存: infield,Storage mission dispatched,N/A,N/A,N/A,local,N/A,N/A,N/A,N/A
E20260326_001,2026-03-26T11:02:52,human_nsjsiro,storage,panel_ui,index.html,N/A,manual_click,browser_ui,in_operation,normal,A,infield,保存: infield,Storage mission dispatched,N/A,N/A,N/A,local,N/A,N/A,N/A,N/A
E20260326_001,2026-03-26T11:03:03,human_nsjsiro,storage,panel_ui,index.html,N/A,manual_click,browser_ui,in_operation,normal,A,infield,保存: infield,Storage mission dispatched,N/A,N/A,N/A,local,N/A,N/A,N/A,N/A
E20260326_001,2026-03-26T11:03:03,human_nsjsiro,storage,panel_ui,index.html,N/A,manual_click,browser_ui,in_operation,normal,A,outfield,保存: outfield,Storage mission dispatched,N/A,N/A,N/A,local,N/A,N/A,N/A,N/A
